year,ic,value,donor_type,description,companyId,company,date,addrStreet,addrCity,addrZip
2020,00442704,0.0,PO,dar,7543000,REZIDENCE JELEN s.r.o.,2020-08-17,,,
2020,00442704,0.0,PO,dar,60112301,Rieter CZ s.r.o.,2020-09-04,,,
2020,00442704,0.0,PO,dar,26631075,"Rodiny, z.s.",2020-08-01,,,
2020,00442704,30000.0,PO,dar,29235171,"RPG Recycling, s.r.o.",2020-10-09,,,
2020,00442704,7313.0,PO,dar,4633865,ŘEZNICTVÍ  LUKÁŠ  GEBAUER s.r.o.,2020-01-10,,,
2020,00442704,6000.0,PO,dar,3530906,"Řeznictví a uzenářství Oldřich Čejka, s.r.o.",2020-09-09,,,
2020,00442704,0.0,PO,dar,48489000,Římskokatolická farnost Hluk,2020-08-23,,,
2020,00442704,0.0,PO,dar,60161264,Římskokatolická farnost Holice,2020-09-04,,,
2020,00442704,0.0,PO,dar,61985716,Římskokatolická farnost Horní Újezd u Všechovic,2020-09-01,,,
2020,00442704,0.0,PO,dar,47920491,Římskokatolická farnost Konice,2020-09-10,,,
2020,00442704,0.0,PO,dar,45180598,Římskokatolická farnost Křenovice u Kojetína,2020-09-10,,,
2020,00442704,20000.0,PO,dar,46402101,Římskokatolická farnost Kutná Hora - Sedlec,2020-02-10,,,
2020,00442704,0.0,PO,dar,47477849,Římskokatolická farnost Lázně Bělohrad,2020-08-01,,,
2020,00442704,0.0,PO,dar,65337166,Římskokatolická farnost Lipovec u Blanska,2020-08-06,,,
2020,00442704,0.0,PO,dar,60802243,Římskokatolická farnost Liptaň,2020-09-03,,,
2020,00442704,0.0,PO,dar,48808521,Římskokatolická farnost Lubina,2020-09-03,,,
2020,00442704,0.0,PO,dar,49314599,Římskokatolická farnost Luková,2020-08-17,,,
2020,00442704,0.0,PO,dar,65336836,Římskokatolická farnost Lysice,2020-08-06,,,
2020,00442704,0.0,PO,dar,64601871,Římskokatolická farnost Měrovice nad Hanou,2020-09-10,,,
2020,00442704,0.0,PO,dar,48157287,Římskokatolická farnost Mikulovice u Pardubic,2020-09-04,,,
2020,00442704,0.0,PO,dar,64269442,Římskokatolická farnost Mohelno,2020-08-01,,,
2020,00442704,0.0,PO,dar,48427594,Římskokatolická farnost Olomouc - Hodolany,2020-09-08,,,
2020,00442704,0.0,PO,dar,45210446,Římskokatolická farnost Ostrava - Zábřeh,2020-09-03,,,
2020,00442704,0.0,PO,dar,61729680,Římskokatolická farnost Otnice,2020-08-06,,,
2020,00442704,0.0,PO,dar,48772119,Římskokatolická farnost Paskov,2020-09-25,,,
2020,00442704,0.0,PO,dar,49591193,Římskokatolická farnost Rychaltice,2020-09-01,,,
2020,00442704,0.0,PO,dar,49591193,Římskokatolická farnost Rychaltice,2020-09-03,,,
2020,00442704,0.0,PO,dar,49590952,Římskokatolická farnost Slatina u Bílovce,2020-09-03,,,
2020,00442704,0.0,PO,dar,49182650,Římskokatolická farnost Spálené Poříčí,2020-09-01,,,
2020,00442704,0.0,PO,dar,61729949,Římskokatolická farnost Šaratice,2020-08-06,,,
2020,00442704,0.0,PO,dar,48838292,Římskokatolická farnost Topolany,2020-08-06,,,
2020,00442704,0.0,PO,dar,66185068,Římskokatolická farnost Třemešná,2020-09-03,,,
2020,00442704,0.0,PO,dar,61234222,Římskokatolická farnost Výprachtice,2020-08-17,,,
2020,00442704,0.0,PO,dar,48838411,Římskokatolická farnost Vyškov,2020-08-06,,,
2020,00442704,0.0,PO,dar,48838462,Římskokatolická farnost Vyškov - Dědice,2020-08-06,,,
2020,00442704,0.0,PO,dar,62060902,S D S  s.r.o.,2020-08-17,,,
2020,00442704,50000.0,PO,dar,42228468,S T A K O s.r.o.,2020-05-20,,,
2020,00442704,0.0,PO,dar,15526411,"SACHARČUK, spol. s r.o.",2020-09-04,,,
